trial_nr,Participant Public ID,Participant Private ID,t_response,choice,rt,gain,loss,score tally
41,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,365,0,1,100
42,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,514,1,0,101
43,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,321,0,0,101
44,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,446,0,1,100
45,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,424,0,1,99
46,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,278,0,0,99
47,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,264,1,1,99
48,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,347,0,1,98
49,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,717,1,0,99
50,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,335,1,1,99
51,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,464,0,0,99
52,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,270,1,0,100
53,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,280,1,1,100
54,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,307,1,1,100
55,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,259,0,1,99
56,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,310,0,1,98
57,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,290,0,1,97
58,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,292,1,0,98
59,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,329,1,0,99
60,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,320,0,0,99
61,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,122,1,0,100
62,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,301,0,0,100
63,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,333,1,0,101
64,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,51,0,0,101
65,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,119,1,1,101
66,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,294,1,0,102
67,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,314,1,1,102
68,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,335,0,0,102
69,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,269,0,0,102
70,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,562,1,0,103
71,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,307,1,0,104
72,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,359,1,0,105
73,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,356,1,1,105
74,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,323,0,0,105
75,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,294,1,0,106
76,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,328,1,0,107
77,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,360,1,1,107
78,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,309,0,0,107
79,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,284,0,0,107
80,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,277,1,0,108
81,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,441,0,0,108
82,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,300,1,0,109
83,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,330,1,0,110
84,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,303,1,0,111
85,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,816,0,0,111
86,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,1213,1,0,112
87,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,1360,1,0,113
88,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,656,1,1,113
89,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,490,1,1,113
90,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,2407,1,1,113
91,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,1414,1,1,113
92,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,832,1,1,113
93,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,696,0,0,113
94,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,451,1,0,114
95,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,627,1,1,114
96,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,754,1,0,115
97,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,1459,1,1,115
98,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,1350,1,0,116
99,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,405,1,0,117
100,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,2457,1,1,117
101,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,669,0,0,117
102,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,281,0,1,116
103,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,461,0,0,116
104,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,861,0,1,115
105,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,298,1,1,115
106,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,825,1,0,116
107,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,325,1,1,116
