Participant.Public.ID,trial_nr,choice,rt,gain,loss,score.tally
5e85f278c880ee1edb7e96ee,50,2,335,1,1,99
5e85f278c880ee1edb7e96ee,51,2,464,0,0,99
5e85f278c880ee1edb7e96ee,52,2,270,1,0,100
5e85f278c880ee1edb7e96ee,53,2,280,1,1,100
5e85f278c880ee1edb7e96ee,54,2,307,1,1,100
5e85f278c880ee1edb7e96ee,55,2,259,0,1,99
5e85f278c880ee1edb7e96ee,56,1,310,0,1,98
5e85f278c880ee1edb7e96ee,57,0,290,0,1,97
5e85f278c880ee1edb7e96ee,58,2,292,1,0,98
5e85f278c880ee1edb7e96ee,59,2,329,1,0,99
5e85f278c880ee1edb7e96ee,60,2,320,0,0,99
5e85f278c880ee1edb7e96ee,61,2,122,1,0,100
5e85f278c880ee1edb7e96ee,62,2,301,0,0,100
5e85f278c880ee1edb7e96ee,63,2,333,1,0,101
5e85f278c880ee1edb7e96ee,64,2,51,0,0,101
5e85f278c880ee1edb7e96ee,65,2,119,1,1,101
5e85f278c880ee1edb7e96ee,66,2,294,1,0,102
5e85f278c880ee1edb7e96ee,67,2,314,1,1,102
5e85f278c880ee1edb7e96ee,68,2,335,0,0,102
5e85f278c880ee1edb7e96ee,69,2,269,0,0,102
5e85f278c880ee1edb7e96ee,70,2,562,1,0,103
5e85f278c880ee1edb7e96ee,71,2,307,1,0,104
5e85f278c880ee1edb7e96ee,72,2,359,1,0,105
5e85f278c880ee1edb7e96ee,73,2,356,1,1,105
5e85f278c880ee1edb7e96ee,74,2,323,0,0,105
5e85f278c880ee1edb7e96ee,75,2,294,1,0,106
5e85f278c880ee1edb7e96ee,76,2,328,1,0,107
5e85f278c880ee1edb7e96ee,77,2,360,1,1,107
5e85f278c880ee1edb7e96ee,78,2,309,0,0,107
5e85f278c880ee1edb7e96ee,79,2,284,0,0,107
5e85f278c880ee1edb7e96ee,80,2,277,1,0,108
5e85f278c880ee1edb7e96ee,81,2,441,0,0,108
5e85f278c880ee1edb7e96ee,82,2,300,1,0,109
5e85f278c880ee1edb7e96ee,83,2,330,1,0,110
5e85f278c880ee1edb7e96ee,84,2,303,1,0,111
5e85f278c880ee1edb7e96ee,85,2,816,0,0,111
5e85f278c880ee1edb7e96ee,86,2,1213,1,0,112
5e85f278c880ee1edb7e96ee,87,2,1360,1,0,113
5e85f278c880ee1edb7e96ee,88,2,656,1,1,113
5e85f278c880ee1edb7e96ee,89,2,490,1,1,113
5e85f278c880ee1edb7e96ee,90,2,2407,1,1,113
5e85f278c880ee1edb7e96ee,91,2,1414,1,1,113
